no,名前,提出,Q1[1],Q1[2],Q1[3],Q1[4],Q2[1],Q2[2],Q2[3],Q2[4],Q3[1],Q3[2],Q3[3],Q3[4]
1,2211101,未提出,0,0,0,0,0,0,0,0,0,0,0,0
2,2211102,041114:56:42,2,2,2,2,2,2,2,2,2,2,2,2
3,2211103,041115:1:24,2,2,2,2,2,2,2,2,2,2,2,2
4,2211104,041114:56:59,2,2,2,2,2,2,2,2,2,2,2,2
5,2211105,041114:57:55,2,2,2,2,2,2,2,2,2,2,2,2
6,2211106,041114:54:40,2,2,2,2,2,2,2,2,0,2,2,2
7,2211107,041114:53:35,2,2,2,2,2,2,2,2,2,2,2,2
8,2211108,041114:55:35,2,2,2,2,2,0,2,2,0,2,2,2
9,2211109,041114:57:11,2,2,2,2,2,2,2,2,2,2,2,2
10,2211110,041114:57:17,2,2,2,2,2,2,2,2,2,2,2,2
11,2211111,041114:53:45,2,2,2,2,2,2,2,2,2,2,2,2
12,2211112,041114:55:43,2,0,2,2,2,2,2,2,2,2,2,2
13,2211113,041115:0:6,0,2,2,0,2,2,2,2,0,0,0,0
14,2211114,未提出,0,0,0,0,0,0,0,0,0,0,0,0
15,2211115,未提出,0,0,0,0,0,0,0,0,0,0,0,0
16,2211116,未提出,0,0,0,0,0,0,0,0,0,0,0,0
