,,,Q01,,Q02,,,Q04,,,Q05,,,,,,,,,Q06,Q07,Q08,
,,,[1],[2],[1],[2],[3],[1],[2],[3],[1],[2],[3],[4],[5],[6],[7],[8],[9],[],=,[1]=,[2]=
1,01KA,NotYet,,,,,,,,,,,,,,,,,,,,,,0
2,02NI,0425,1,2,,,,2,2,2,___,1,0,0,0,0,0,0,0,,2,0,0,___
3,03VL,0425,2,2,,,,2,2,2,1,1,1,1,1,1,0,0,0,,2,2,0,20
4,04TO,0425,0,0,,,,,,,1,1,0,1,0,0,0,0,0,,,,,3
5,05RO,0425,2,2,,,,2,2,2,1,1,1,0,0,0,0,0,0,,,,,13
6,06AK,0425,2,2,,,,,,,1,1,1,0,1,1,1,1,1,,2,2,1,17
7,07YK,0425,2,2,,,,2,2,0,1,1,1,1,1,1,0,0,0,,2,2,2,20
8,08MT,0425,2,2,,,,,,,1,1,1,1,1,1,1,1,1,,2,2,2,19
9,09HN,0425,2,2,,,,2,2,,1,1,0,1,0,0,0,0,0,,,,,11
10,10HH,0425,0,0,,,,2,2,2,0,0,0,0,0,0,0,0,0,,,,,6
11,11KH,0425,2,2,,,,2,2,2,1,1,1,1,1,1,1,1,1,,,,,19
12,12YM,0425,2,1,,,,2,2,0,1,1,1,1,1,1,1,1,1,,2,2,0,20
13,13TY,0425,0,0,,,,,,,,,,,,,,,,,,,,0
14,14KK,NotYet,,,,,,,,,,,,,,,,,,,,,,0
15,15YK,NotYet,,,,,,,,,,,,,,,,,,,,,,0
16,16YT,NotYet,,,,,,,,,,,,,,,,,,,,,,0
