,,,Q01,Q02,,Q03,,,,Q04,,Q05,,Q06,,Q07,,Q08,,,Q09,,,
,,,[]=,[1]振幅=,[2]周期=,[1]位相のずれ=,[2]位相のずれ=,[3]位相のずれ=,[4]位相のずれ=,[1]位相のずれ=,[2]位相のずれ=,[1]=,[2](y,n)=,[1]=,[2]=,[1]=,[2]=,[1]=,[2]=,[3]=,[1]=,[2]=,[3]=,[4]=
1,01KA,0516,2,0,0,2,2,2,0,0,0,0,2,0,0,1,1,0,0,0,2,0,2,2,18
2,02NI,0516,4,,,2,0,2,2,0,0,2,2,1,0,2,0,0,0,0,2,2,2,2,25
3,03VL,0516,2,0,0,0,0,0,0,0,0,0,2,0,0,2,2,2,2,2,2,2,0,2,20
4,04TO,0509,0,2,0,2,2,2,0,,,2,2,2,0,2,2,2,2,2,2,2,2,2,32
5,05RO,0516,2,0,0,2,2,2,2,0,0,2,2,2,2,0,0,2,2,2,0,2,2,0,28
6,06AK,0516,6,2,2,2,2,2,2,0,0,2,2,2,2,2,2,2,2,2,2,2,2,0,42
7,07YK,0516,2,0,2,2,2,2,0,0,0,2,2,2,2,2,0,2,2,2,2,2,0,2,32
8,08MT,0516,4,2,0,2,2,2,0,0,0,0,2,2,2,2,0,2,2,2,2,2,0,2,32
9,09HN,0516,4,0,0,2,2,0,2,0,0,2,2,2,2,1,1,2,2,2,2,2,0,0,30
10,10HH,0516,6,0,0,2,2,2,2,0,0,2,0,0,0,2,2,2,2,2,0,0,0,0,26
11,11KH,0516,2,0,0,0,0,0,0,0,0,0,2,2,2,0,0,2,2,2,2,2,0,2,20
12,12YM,0516,4,0,0,2,2,2,2,0,0,0,0,2,2,1,1,0,0,0,2,0,2,2,24
13,13TY,NotYet,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,0
14,14KK,NotYet,,,,,,,,,,,,,,,,,,,,,,,0
15,15YK,NotYet,,,,,,,,,,,,,,,,,,,,,,,0
16,16YT,NotYet,,,,,,,,,,,,,,,,,,,,,,,0
