,,,Q01,,,Q02,,,,Q03,,,,,,Q04,,,Q05,,,,Q06,,,,Q07,,,,Q08,,Q09,,,,Q10,,,Q11,,,,Q12,,
,,,[1],[2],[3],[1],[2],[3],[4],[1],[2],[3],[4],[5],[6],[1],[2],[3],[1],[2],[3],[4],[1],[2],[3],[4],[1],[2],[3],[4],[1],[2],[1],[2],[3],[4],[1],[2],[3],[1],[2],[3],[4],[1],[2],[3]
1,01KA,0523,2,2,2,2,2,2,2,1,1,1,1,1,1,2,2,2,2,2,2,1,2,2,0,,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,,1,2,0,70
2,02NI,0523,0,2,2,,,,,1,1,1,1,1,1,2,2,2,2,2,2,1,2,0,0,,2,2,2,0,0,0,0,0,0,2,2,1,1,2,2,2,,0,1,0,44
3,03VL,0523,0,0,0,2,2,2,2,1,1,1,1,1,1,2,2,1,2,2,0,2,2,2,___,,,,,,2,2,2,0,2,2,0,0,0,0,2,2,,,,,___
4,04TO,0523,2,2,2,2,2,2,2,1,1,1,1,1,1,2,2,2,2,2,1,2,2,2,2,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,0,2,2,75
5,05RO,0523,2,2,2,2,2,2,2,1,1,1,1,1,1,2,2,2,2,2,2,1,2,2, ,,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,1,1,1,___
6,06AK,0523,2,2,2,2,2,2,2,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,2,1,1,76
7,07YK,0523,2,2,2,2,2,2,2,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1,2,2,2,2,,1,2,0,74
8,08MT,0523,2,2,2,2,2,2,2,1,1,1,1,1,1,2,2,2,2,2,2,1,0,2,2,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,1,2,1,73
9,09HN,0523,2,2,2,2,0,2,0,1,1,1,1,1,1,2,2,2,1,2,1,2,2,0,0,,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,,0,2,2,64
10,10HH,0523,2,1,2,2,2,2,0,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16
11,11KH,0523,0,0,0,2,2,2,2,1,1,0,1,1,1,2,2,2,2,2,2,2,2,2,2,,0,2,2,2,2,2,2,2,2,2,0,0,0,2,2,2,,0,2,0,59
12,12YM,0523,0,2,2,2,2,2,0,1,1,1,1,1,1,2,2,2,2,2,2,1,,,,,2,2,2,0,2,0,2,2,2,2,2,2,2,0,2,2,,,,,55
13,13TY,NotYet,,,,,,,,0,0,1,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
14,14KK,NotYet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
15,15YK,NotYet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
16,16YT,NotYet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
