,,,Q01,,,,Q02,,,,Q03,,Q04,,,,Q05,,,,Q06,,Q07,,Q08,,Q09,,,,Q10,
,,,[1]=,[2]=,[3]=,[4]=,[1]=,[2]=,[3]=,[4]=,[1]=,[2]=,[1]=,[2]=,[3]=,[4]=,[1]=,[2]=,[3]=,[4]=,[1]=,[2]=,[1]a_1,a_2,a_3,a_4,a_5=,[2]a_n=,[1]=,[2]=,[1],[2],[3],[4],[1]=,[2]=
1,01KA,0530,2,0,2,0,2,0,0,0,2,2,0,0,0,0,2,2,2,0,2,2,2,2,2,2,0,2,0,0,0,2,32
2,02NI,0530,0,0,2,2,2,0,2,0,0,2,1,0,2,2,2,2,2,2,1,0,2,0,0,0,0,0,0,0,2,2,30
3,03VL,NotYet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,04TO,0530,0,0,0,2,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,2,2,0,0,2,2,36
5,05RO,0530,0,0,2,2,0,2,0,0,2,2,,,,,2,0,0,0,0,2,2,2,2,0,2,2,1,2,2,2,31
6,06AK,0530,0,0,0,2,2,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,2,2,40
7,07YK,0530,0,0,2,2,2,0,0,0,2,2,0,0,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,44
8,08MT,0530,0,0,2,0,0,0,0,2,2,2,2,0,2,2,0,0,0,0,2,2,2,2,2,0,0,0,0,0,2,2,28
9,09HN,0530,0,2,2,0,0,0,2,2,2,0,2,2,2,2,1,2,2,2,2,0,2,0,0,0,0,0,0,0,2,0,31
10,10HH,0530,0,0,2,2,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,4
11,11KH,0530,2,2,2,2,2,2,2,2,0,0,2,2,2,2,2,2,2,2,2,2,2,2,0,0,2,2,1,0,2,2,49
12,12YM,0530,0,2,0,2,0,0,0,0,0,2,0,2,2,2,2,2,2,0,2,0,2,2,0,0,0,2,2,2,2,2,34
13,13TY,0530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0
14,14KK,NotYet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
15,15YK,NotYet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
16,16YT,NotYet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
