,,,Q01,,Q02,,Q03,,,,Q04,,,,,,Q05,,,,Q06,Q07,,,,Q08,,,,
,,,[1]=,[2]=,[1]S=,[2]n,a_k=,[1]=,[2]=,[3]=,[4]=,[1]=,[2]=,[3]=,[4]=,[5]=,[6]=,[2]=,[3]=,[4]=,[5]=,[],[1],[2],[3],[4],[1],[2],[3],[4],[5]
1,01KA,0606,2,2,2,0,2,2,2,2,0,0,2,2,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,22
2,02NI,0606,2,2,2,2,0,2,2,0,0,0,0,0,1,0,2,2,0,2,2,2,2,1,1,0,0,0,2,1,30
3,03VL,0606,2,0,2,2,2,2,1,0,2,2,2,2,2,0,2,2,2,2,0,,,,,,,,,,29
4,04TO,0606,2,2,2,1,2,2,0,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,1,0,0,2,2,0,44
5,05RO,0606,2,2,2,2,2,2,2,2,2,2,0,2,2,0,,,,,,2,2,0,0,0,0,2,2,2,34
6,06AK,0606,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,2,2,2,2,2,52
7,07YK,0606,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,53
8,08MT,0606,2,2,2,2,2,0,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,0,0,0,0,2,2,2,44
9,09HN,0606,2,0,0,1,0,0,0,2,2,0,0,2,2,0,2,2,2,0,2,,,,,,,,,,19
10,10HH,NotYet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
11,11KH,0606,2,2,2,2,2,2,0,2,2,2,0,2,2,0,2,2,2,2,0,0,2,2,2,0,0,0,2,0,38
12,12YM,0606,2,2,2,2,,,,,2,2,2,0,2,0,2,2,0,1,,2,2,2,2,0,0,2,2,2,35
13,13TY,0606,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0
14,14KK,NotYet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
15,15YK,NotYet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
16,16YT,NotYet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
