,,,Q01,Q02,Q03,,Q04,Q05,,,,Q06,,,
,,,[],[],[1]=,[2]=,[]=,[1]y'=,[2]y'=,[3]y'=,[4]y'=,[1]y'=,[2]y'=,[3]y'=,[4]y'=
1,01KA,0627,0,0,2,2,0,2,2,2,2,0,2,2,2,18
2,02NI,0627,0,4,0,0,4,2,2,0,0,0,2,2,2,18
3,03VL,0627,0,0,2,2,,0,2,2,2,2,2,2,2,18
4,04TO,0627,0,0,2,2,4,2,2,2,2,2,2,2,2,24
5,05RO,0627,0,0,2,2,4,2,2,0,0,2,2,2,2,20
6,06AK,0627,4,4,2,2,4,2,2,2,2,2,2,2,2,32
7,07YK,0627,0,4,2,2,4,2,2,2,2,2,2,2,2,28
8,08MT,0627,0,0,2,2,0,2,2,2,2,2,2,2,2,20
9,09HN,0627,4,0,2,2,4,0,0,0,0,0,2,2,0,16
10,10HH,0627,0,2,0,0,0,2,0,0,0,0,0,0,0,4
11,11KH,0627,4,0,2,2,0,2,2,2,2,2,2,2,2,24
12,12YM,NotYet,,,,,,,,,,,,,,0
13,13TY,0627,0,0,,,,0,0,0,0,0,0,0,0,0
14,14KK,NotYet,,,,,,,,,,,,,,0
15,15YK,NotYet,,,,,,,,,,,,,,0
16,16YT,NotYet,,,,,,,,,,,,,,0
