,,,Q06,,Q07,Q08,Q09,Q10,Q11,,,Q12,
,,,[1],[2],[],[],[],[],[1],[2],[3],[1],[2]
1,01KA,0711,2,2,0,4,4,4,0,0,0,2,2,20
2,02NI,0711,2,2,4,4,4,4,2,0,0,2,0,24
3,03VL,0711,2,2,4,0,0,0,0,2,0,2,2,14
4,04TO,0711,2,2,4,4,4,4,2,2,2,0,2,28
5,05RO,0711,2,2,4,0,4,4,0,2,0,0,2,20
6,06AK,0711,2,2,4,4,4,4,0,2,0,2,0,24
7,07YK,0711,2,2,4,4,4,4,2,2,2,0,2,28
8,08MT,0711,2,2,4,0,4,4,0,0,0,2,2,20
9,09HN,0711,2,2,0,0,4,4,0,0,0,0,0,12
10,10HH,0711,2,2,0,4,4,4,0,2,1,2,0,21
11,11KH,0711,2,2,0,4,4,0,2,0,0,2,0,16
12,12YM,0711,2,2,0,0,4,0,0,0,0,0,0,8
13,13TY,NotYet,,,,,,,,,,,,0
14,14KK,NotYet,,,,,,,,,,,,0
15,15YK,NotYet,,,,,,,,,,,,0
16,16YT,NotYet,,,,,,,,,,,,0
