,,,Q01,Q02,Q03,,,Q04,,,Q05,,Q06,,Q07,Q08,Q09,Q10,Q11,,,Q12,,Q13,Q14,,,,Q15,,
,,,[],[],[1],[2],[3],[1],[2],[3],[1],[2],[1],[2],[],[],[],[],[1],[2],[3],[1],[2],[],[1],[2],[3],[4],[1],[2],[3]
1,01KA,0711,2,0,2,2,2,0,0,0,0,0,2,2,0,4,4,4,0,0,0,2,2,,2,2,2,0,0,0,2,36
2,02NI,0711,0,2,2,2,2,2,2,2,2,0,2,2,4,4,4,4,2,0,0,2,0,,2,2,2,0,0,0,2,48
3,03VL,0711,0,0,2,2,2,2,2,0,2,2,2,2,4,0,0,0,0,2,0,2,2,0,2,2,2,2,2,2,0,40
4,04TO,0711,1,2,2,2,2,2,2,0,0,0,2,2,4,4,4,4,2,2,2,0,2,0,2,2,2,2,0,0,2,51
5,05RO,0711,2,2,2,2,2,2,2,2,2,0,2,2,4,0,4,4,0,2,0,0,2,0,0,0,0,0,,,,38
6,06AK,0711,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,0,2,0,2,0,4,2,2,2,2,0,0,2,58
7,07YK,0711,2,2,0,2,2,2,2,2,2,2,2,2,4,4,4,4,2,2,2,0,2,0,2,0,0,0,2,2,2,54
8,08MT,0711,2,2,2,2,2,0,2,0,0,0,2,2,4,0,4,4,0,0,0,2,2,0,0,0,2,0,0,0,2,36
9,09HN,0711,2,0,2,2,2,2,2,0,0,0,2,2,0,0,4,4,0,0,0,0,0,0,2,2,0,0,0,0,0,28
10,10HH,0711,2,0,2,2,2,2,2,0,0,0,2,2,0,4,4,4,0,2,1,2,0,4,2,2,2,2,0,0,2,47
11,11KH,0711,2,2,2,2,2,2,2,2,0,0,2,2,0,4,4,0,2,0,0,2,0,2,2,2,2,2,0,0,2,44
12,12YM,0711,0,2,0,2,2,2,2,0,0,0,2,2,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,20
13,13TY,NotYet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
14,14KK,NotYet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
15,15YK,NotYet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
16,16YT,NotYet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
