,,,Q01,,Q02,,,,,Q03,,,Q04,Q05,,,Q06,,,Q07,Q08,,,,,,Q09,,Q10,,
,,,[1]y'=,[2]y'=,[1]y'=,[2]y'=,[3]y'=,[4]y'=,[5]y'=,[1]y'=,[2]y'=,[3]y'=,[]e=,[1],[2],[3],[1],[2],[3],[],[1],[2],[3],[4],[5],[6],[1],[2],[1],[2],
1,01KA,829,2,2,2,2,0,0,2,2,0,0,0,0,0,0,0,0,0,2,2,2,2,0,2,2,0,0,0,0,24
2,02NI,829,2,2,2,0,0,0,2,0,0,2,0,2,2,0,0,0,2,2,2,2,0,0,0,2,0,0,0,0,24
3,03VL,829,2,0,0,2,2,2,2,2,2,0,2,2,0,2,0,0,0,2,2,2,0,2,2,2,,,0,0,32
4,04TO,829,2,2,2,2,0,2,2,2,0,0,0,2,2,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,22
5,05RO,NotYet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
6,06AK,829,2,2,2,2,0,0,,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,0,0,0,0,40
7,07YK,829,0,2,2,2,0,2,2,2,2,2,2,2,0,2,0,0,0,2,2,2,2,0,2,2,0,0,0,0,34
8,08MT,829,2,2,0,2,0,2,2,,,,2,2,2,0,0,2,0,2,2,2,2,2,2,2,0,0,0,0,32
9,09HN,829,2,2,2,0,0,2,2,2,0,0,2,2,2,0,2,2,2,2,2,0,2,0,0,0,0,0,0,0,30
10,10HH,829,2,2,2,2,0,0,0,2,0,0,0,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,16
11,11KH,829,2,2,2,2,0,0,2,0,0,0,2,2,0,2,2,0,0,2,0,2,2,2,2,0,0,0,0,0,28
12,12YM,829,2,2,2,2,0,0,0,0,0,0,2,0,0,2,2,2,0,2,2,2,2,0,2,0,0,0,0,0,26
13,13TY,NotYet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
14,14KK,NotYet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
15,15YK,NotYet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
16,16YT,NotYet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
