,,,Q01,,,,Q02,,Q03,,Q04,,Q05,,Q06,,,
,,,[1]=,[2]=,[4]=,[4]=,[1]=,[2]=,[1]=,[2]=,[1],[2],[1],[2],[1],[2],[3],[4]
1,01KA,0905,2,2,2,2,2,2,2,2,2,0,2,2,0,2,2,2,28
2,02NI,0905,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,32
3,03VL,0905,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,32
4,04TO,0905,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,32
5,05RO,NotYet,,,,,,,,,,,,,,,,,0
6,06AK,0905,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,32
7,07YK,0905,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,31
8,08MT,0905,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,31
9,09HN,0905,2,2,2,2,2,1,0,2,2,2,2,2,2,2,2,2,29
10,10HH,0905,2,0,2,2,0,0,0,0,2,2,0,0,0,0,0,0,10
11,11KH,0905,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,31
12,12YM,0905,2,2,0,2,,,,,0,2,,,0,2,2,2,14
13,13TY,NotYet,,,,,,,,,,,,,,,,,0
14,14KK,NotYet,,,,,,,,,,,,,,,,,0
15,15YK,NotYet,,,,,,,,,,,,,,,,,0
16,16YT,NotYet,,,,,,,,,,,,,,,,,0
