,,,Q01,,Q02,,Q03,,,,,,,,,Q04,,,,Q05,,,Q06,,,Q07,,,Q08,,,Q09,,,,Q10,
,,,[1],[2]=,[1],[2]=,[1]=,[2]=,[3]=,[4]=,[5]=,[6]=,[7]=,[8]=,[9]=,[1]=,[2]=,[3]=,[4]=,[1]=,[2]=,[3]=,[1]=,[2]=,[3]=,[1]=,[2]=,[3]=,[1]=,[2]=,[3]=,[1]=,[2]=,[3]=,[4]=,[1]=,[2]=
1,01KA,091213:15:7,2,0,0,0,1,1,1,0,1,1,0,1,0,2,2,2,2,0,2,0,2,2,2,2,0,2,0,0,0,0,0,0,0,0,0,28
2,02NI,091213:29:53,2,2,0,2,1,0,1,1,1,1,1,1,1,0,2,2,2,2,2,0,2,2,2,2,2,0,2,0,0,0,2,0,0,2,2,42
3,03VL,NotYet,,,0,2,1,1,1,1,1,1,0,1,1,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,1,0,0,0,0,43
4,04TO,091213:29:53,1,2,1,2,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,0,2,2,2,0,0,51
5,05RO,091213:27:7,1,2,0,2,1,1,1,1,1,1,1,1,1,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,,,,,,,44
6,06AK,091213:9:12,2,2,,,2,2,,,,,,,,1,1,1,1,2,2,2,0,2,0,,,,,,,2,2,2,0,0,2,46
7,07YK,091213:44:4,2,2,2,2,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,0,0,2,2,2,55
8,08MT,091213:10:51,2,2,2,2,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,0,2,0,2,0,0,51
9,09HN,091213:26:30,2,0,2,0,1,0,0,1,1,0,1,1,1,2,2,2,2,0,0,0,2,2,2,2,2,2,0,2,2,1,2,2,2,0,0,41
10,10HH,091213:25:19,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,10
11,11KH,091213:2:10,0,2,2,2,1,1,1,1,1,1,1,1,1,2,2,2,2,0,2,0,2,2,2,0,0,2,2,2,2,0,0,0,0,2,2,43
12,12YM,091214:52:11,2,0,2,0,1,1,1,1,1,1,1,1,1,2,2,0,0,0,0,2,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0,27
13,13TY,NotYet,,,,,,,,,,,,,,2,2,2,0,0,0,0,2,2,2,0,2,2,2,2,2,,,,,,,22
14,14KK,NotYet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
15,15YK,NotYet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
16,16YT,NotYet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
