,,,Q01,,,Q02,,,Q03,,,Q04,,,,,Q05,,,Q06,,,Q07,,,Q08,,
,,,[1],[2],[3],[1],[2],[3],[1],[2],[3],[1],[2],[3],[4],[5],[1],[2],[3],[1],[2],[3],[1],[2],[3],[1],[2],[3]
1,01KA,0926,0,0,2,0,0,0,1,0,0,0,0,2,0,1,2,0,0,2,0,0,,,,,,,10
2,02NI,0926,2,2,2,0,0,0,0,1,0,0,0,2,0,2,2,2,2,2,1,0,0,0,0,0,2,0,22
3,03VL,0926,0,0,0,1,0,0,0,1,0,2,2,2,0,1,2,0,2,2,1,2,2,0,,0,1,0,21
4,04TO,0926,2,2,2,2,2,0,2,2,2,2,2,2,0,2,2,2,2,,,,,,,,,,30
5,05RO,0926,2,2,2,0,0,0,0,0,1,2,2,2,0,2,2,0,2,2,2,2,,,,,,,25
6,06AK,0926,2,2,2,1,0,0,1,0,0,2,2,2,0,2,2,1,2,2,1,0,0,0,0,2,2,0,28
7,07YK,0926,2,0,2,1,0,0,0,0,0,1,2,2,0,2,2,2,2,2,2,2,,,,,,,24
8,08MT,0926,2,2,2,0,0,0,1,0,0,2,2,2,0,2,2,1,0,2,2,2,0,0,0,0,2,0,26
9,09HN,0926,2,2,2,0,0,0,0,0,0,2,2,0,0,2,2,2,1,,,,,,,,,,17
10,10HH,0926,2,2,2,0,0,0,0,0,0,0,0,0,0,0,2,2,2,,,,,,,,,,12
11,11KH,0926,2,2,2,0,0,0,1,0,0,2,2,0,0,0,2,1,0,2,2,0,0,0,0,0,2,0,20
12,12YM,0926,2,2,2,2,2,0,0,0,0,2,2,0,0,2,2,0,0,2,1,0,0,0,0,0,0,0,21
13,13TY,NotYet,,,,,,,,,,,,,,,,,,,,,,,,,,,0
14,14KK,NotYet,,,,,,,,,,,,,,,,,,,,,,,,,,,0
15,15YK,NotYet,,,,,,,,,,,,,,,,,,,,,,,,,,,0
16,16YT,NotYet,,,,,,,,,,,,,,,,,,,,,,,,,,,0
