,,,Q01,,,,,Q02,,,,,Q03,,,,Q04,,,Q05,,
,,,[1],[2],[3],[4],[5],[1],[2],[3],[4],[5],[1],[2],[3],[4],[1],[2],[3],[1],[2],[3]
1,01KA,092814:9:47,5,0,5,5,0,5,5,5,0,3,0,0,0,5,5,5,5,3,5,5,66
2,02NI,092814:16:26,5,5,5,5,5,5,5,0,0,5,5,5,0,5,5,0,5,5,0,0,70
3,03VL,092814:9:34,5,5,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,95
4,04TO,092814:26:8,0,5,5,5,5,5,5,5,5,5,5,0,5,5,5,5,5,5,0,0,80
5,05RO,092814:17:9,5,5,5,5,5,5,5,5,5,5,5,0,5,3,5,5,5,5,5,5,93
6,06AK,092814:7:44,5,5,5,5,3,5,5,5,5,0,5,5,5,5,5,5,5,5,5,5,93
7,07YK,092814:9:33,5,5,0,5,5,5,5,5,5,5,5,5,5,5,5,0,0,5,5,5,85
8,08MT,092814:14:36,5,5,5,5,5,5,5,5,5,5,5,0,5,5,5,5,5,5,0,0,85
9,09HN,092814:18:39,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,0,90
10,10HH,092814:11:17,5,3,5,0,3,5,5,5,5,0,5,0,0,0,5,0,0,3,0,0,49
11,11KH,092814:6:28,5,5,5,5,5,5,5,5,5,5,5,0,5,0,5,5,5,5,0,0,80
12,12YM,092814:13:37,5,5,5,5,3,5,5,5,0,5,5,5,0,5,5,0,5,5,0,0,73
13,13TY,092814:44:19,5,5,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,10
14,14KK,NotYet,,,,,,,,,,,,,,,,,,,,,0
15,15YK,NotYet,,,,,,,,,,,,,,,,,,,,,0
16,16YT,NotYet,,,,,,,,,,,,,,,,,,,,,0
